Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration,Year of Issue (Estimated),Year of Move (Estimated)
1997,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1996,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2031,2023,2030
1981,M,SEATAC,WA,98188,OUT-OF-STATE,E,SURRENDERED,FULL,2025,2017,2024
1989,M,MAPLE VALLEY,WA,98038,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1987,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1996,F,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1994,M,SILVERDALE,WA,98383,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1992,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1985,F,SHORELINE,WA,98177,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1991,F,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1977,M,PULLMAN,WA,99163,OUT-OF-STATE,D,SURRENDERED,FULL,2031,2023,2030
1990,F,RENTON,WA,98055,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1997,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1989,F,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1991,M,VANCOUVER,WA,98663,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1985,F,VANCOUVER,WA,98686,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1994,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1990,M,RICHLAND,WA,99354,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1989,F,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1991,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1960,M,OLYMPIA,WA,98501,OUT-OF-STATE,DM,SURRENDERED,FULL,2024,2016,2023
1993,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1953,F,SPOKANE,WA,99205,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1986,M,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1985,M,LYNNWOOD,WA,98037,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1976,M,SHORELINE,WA,98155,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1992,M,BONNEY LAKE,WA,98391,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1995,M,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1994,M,SEATTLE,WA,98104,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025,2017,2024
1976,F,RICHLAND,WA,99354,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1999,M,JOINT BASE LEWIS MCCHORD,WA,98438,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1972,M,TACOMA,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1988,M,SEATTLE,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,F,SEATTLE,WA,98199,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1971,M,ISSAQUAH,WA,98027,OUT-OF-STATE,DM,SURRENDERED,FULL,2025,2017,2024
1989,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1989,M,SELAH,WA,98942,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1953,M,BAINBRIDGE ISLAND,WA,98110,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1965,M,SEATTLE,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1987,F,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,M,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1986,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
2001,M,COLLEGE PLACE,WA,99324,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2026,2018,2025
1984,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1982,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1995,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1992,M,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1984,F,BREMERTON,WA,98310,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1984,F,FERNDALE,WA,98248,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1977,F,BOTHELL,WA,98011,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1997,M,TACOMA,WA,98409,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025,2017,2024
1991,M,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
